S,instancia,n,capacidade,metodo,configuracao,valor,peso,itens,tempo_ms,comparacoes,avaliacoes,cruzamentos,mutacoes,geracoes,Vref,gap,gap_percentual
466473,"gerada_20",20,504,"Guloso razão","-",4347,502,"17 12 16 2 15 14 8 20 11 7 18 1 9",5,20,0,0,0,0,4347,0,0.0000
466473,"gerada_20",20,504,"Guloso valor","-",4266,503,"14 12 16 17 2 11 15 7 8 9 20 6",1,20,0,0,0,0,4347,81,1.8634
466473,"gerada_20",20,504,"Algoritmo Genético","config1",4347,502,"1 2 7 8 9 11 12 14 15 16 17 18 20",62,0,30100,15000,12071,300,4347,0,0.0000
466473,"gerada_20",20,504,"Algoritmo Genético","config2",4347,502,"1 2 7 8 9 11 12 14 15 16 17 18 20",52,0,100200,50000,99447,500,4347,0,0.0000
466473,"gerada_20",20,504,"Programação Dinâmica","ótima",4347,502,"1 2 7 8 9 11 12 14 15 16 17 18 20",1,9091,10100,0,0,0,4347,0,0.0000
466473,"gerada_50",50,1057,"Guloso razão","-",9391,1051,"41 32 45 2 9 34 4 22 25 14 49 27 26 10 15 33 17 38 3 42 50 37 18 21 48 47 1 35 29 40 24 28 8",0,50,0,0,0,0,9392,1,0.0106
466473,"gerada_50",50,1057,"Guloso valor","-",8563,1057,"35 26 37 22 10 4 42 50 48 47 41 29 9 24 3 15 16 27 6 14 17 25 34 33",0,50,0,0,0,0,9392,829,8.8267
466473,"gerada_50",50,1057,"Algoritmo Genético","config1",9392,1051,"1 2 3 4 5 9 10 14 15 17 18 21 22 24 25 26 27 29 32 33 34 35 37 38 40 41 42 45 47 48 49 50",27,0,30100,15000,29908,300,9392,0,0.0000
466473,"gerada_50",50,1057,"Algoritmo Genético","config2",9367,1056,"2 3 4 5 9 10 14 15 17 18 21 22 24 25 26 27 28 29 32 33 34 35 36 37 38 40 41 42 45 47 48 49 50",83,0,100200,50000,248906,500,9392,25,0.2662
466473,"gerada_50",50,1057,"Programação Dinâmica","ótima",9392,1051,"1 2 3 4 5 9 10 14 15 17 18 21 22 24 25 26 27 29 32 33 34 35 37 38 40 41 42 45 47 48 49 50",7,50786,52900,0,0,0,9392,0,0.0000
466473,"knapPI_1_100_1000_1.txt",100,995,"Guloso razão","-",8817,908,"11 49 54 38 7 24 33 61 39 14 26 13",0,100,0,0,0,0,9147,330,3.6077
466473,"knapPI_1_100_1000_1.txt",100,995,"Guloso valor","-",2983,987,"31 19 4",0,100,0,0,0,0,9147,6164,67.3882
466473,"knapPI_1_100_1000_1.txt",100,995,"Algoritmo Genético","config1",8692,992,"7 11 14 24 28 31 33 38 39 49 54 61",43,0,30100,15000,59351,300,9147,455,4.9743
466473,"knapPI_1_100_1000_1.txt",100,995,"Algoritmo Genético","config2",6457,995,"3 7 10 11 14 33 36 38 49 54",131,0,100200,50000,498596,500,9147,2690,29.4085
466473,"knapPI_1_100_1000_1.txt",100,995,"Programação Dinâmica","ótima",9147,985,"7 11 14 24 26 31 33 38 39 49 54 61",0,49222,99600,0,0,0,9147,0,0.0000
